name,category,based_on,plugin,added_in_coros,status,controls
CA 1Star Clean 100W Tweed,Guitar amps,Mesa Boogie Lone Star,,1.0.0,unverified,"Bass, Middle, Treble, Eq, Gain, Master, Presence, Output"
CA 1Star Clean 50W Normal,Guitar amps,Mesa Boogie Lone Star,,1.0.0,unverified,"Bass, Middle, Treble, Eq, Gain, Master, Presence, Output"
CA 1Star Clean 50W Tweed,Guitar amps,Mesa Boogie Lone Star,,1.0.0,unverified,"Bass, Middle, Treble, Eq, Gain, Master, Presence, Output"
CA 1Star Drive 100W Normal,Guitar amps,Mesa Boogie Lone Star,,1.0.0,verified,"Drive (0-10, default 5.0, p1); Gain (0-10, default 5.0, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); EQ (select, Normal/Tweed, default Normal, p1); Presence (0-10, default 5.0, p1); Master (0-10, default 3.0, p1); Output (dB, default 0.0, p1)"
CA 1Star Drive 100W Tweed,Guitar amps,Mesa Boogie Lone Star,,1.0.0,unverified,"Bass, Middle, Treble, Drive, Eq, Gain, Master, Presence, Output"
CA 1Star Drive 50W Normal,Guitar amps,Mesa Boogie Lone Star,,1.0.0,unverified,"Bass, Middle, Treble, Drive, Eq, Gain, Master, Presence, Output"
CA 1Star Drive 50W Tweed,Guitar amps,Mesa Boogie Lone Star,,1.0.0,unverified,"Bass, Middle, Treble, Drive, Eq, Gain, Master, Presence, Output"
CA Duo Ch3 Modern,Guitar amps,Mesa Boogie Dual Rectifier,,1.0.0,verified,"Gain (0-10, default 5.0, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Presence (0-10, default 5.0, p1); Master (0-10, default 3.0, p1); Output (dB, default 0.0, p1)"
CA Duo Ch3 Raw,Guitar amps,Mesa Boogie Dual Rectifier,,1.0.0,unverified,"Gain, Bass, Middle, Treble, Presence, Master, Output"
CA Duo Ch3 Vintage,Guitar amps,Mesa Boogie Dual Rectifier,,1.0.0,unverified,"Gain, Bass, Middle, Treble, Presence, Master, Output"
CA John's 2C Ch1,Guitar amps,Mesa Boogie JP2C,,2.0.0,verified,"Gain (0-10, default 5.0, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Presence (0-10, default 5.0, p1); Master (0-10, default 3.0, p1); Output (dB, default -4.6, p1); EQ 80Hz (0-10, default 5.0, p2); EQ 240Hz (0-10, default 5.0, p2); EQ 750Hz (0-10, default 5.0, p2); EQ 2200Hz (0-10, default 5.0, p2); EQ 6600Hz (0-10, default 5.0, p2)"
CA John's 2C Ch2,Guitar amps,Mesa Boogie JP2C,,2.0.0,verified,"Gain (0-10, default 7.7, p1); Bass (0-10, default 0.9, p1); Mid (0-10, default 4.2, p1); Treble (0-10, default 6.3, p1); Presence (0-10, default 5.4, p1); Gain Pull (switch, Off/On, default Off, p1); Pres Pull (switch, Off/On, default On, p1); Shred (switch, Off/On, default Off, p1); Master (0-10, default 3.4, p1); Output (dB, default -5.8, p1); EQ 80Hz (0-10, default 8.0, p2); EQ 240Hz (0-10, default 5.3, p2); EQ 750Hz (0-10, default 2.2, p2); EQ 2200Hz (0-10, default 5.7, p2); EQ 6600Hz (0-10, default 8.3, p2)"
CA John's 2C Ch3,Guitar amps,Mesa Boogie JP2C,,2.0.0,verified,"Gain (0-10, default 7.7, p1); Bass (0-10, default 2.1, p1); Mid (0-10, default 5.5, p1); Treble (0-10, default 6.3, p1); Presence (0-10, default 7.4, p1); Gain Pull (switch, Off/On, default Off, p1); Pres Pull (switch, Off/On, default Off, p1); Shred (switch, Off/On, default Off, p1); Master (0-10, default 3.4, p1); Output (dB, default -9.0, p1); EQ 80Hz (0-10, default 8.5, p2); EQ 240Hz (0-10, default 6.9, p2); EQ 750Hz (0-10, default 3.9, p2); EQ 2200Hz (0-10, default 5.8, p2); EQ 6600Hz (0-10, default 6.2, p2)"
CA Tremo Orange,Guitar amps,Mesa Boogie Trem-O-Verb,,1.0.0,verified,"Gain (0-10, default 5.0, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Presence (0-10, default 5.0, p1); Master (0-10, default 3.0, p1); Output (dB, default 0.0, p1)"
CA Tremo Red,Guitar amps,Mesa Boogie Trem-O-Verb,,1.0.0,unverified,"Gain, Bass, Mid, Treble, Presence, Master, Output"
Captain 50,Guitar amps,Morgan SW50,,1.2.0,verified,"Gain (0-10, default 5.0, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Bright (switch, Off/On, default On, p1); Low Boost (switch, Off/On, default On, p1); Master (0-10, default 3.0, p1); Output (dB, default 0.0, p1)"
D-Cell H4 Ch1 Bright,Guitar amps,Diezel VH4,,1.0.0,verified,"Gain (0-10, default 5.0, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Presence (0-10, default 5.0, p1); Deep (0-10, default 5.0, p1); Master (0-10, default 3.0, p1); Output (dB, default 0.0, p1)"
D-Cell H4 Ch1 Normal,Guitar amps,Diezel VH4,,1.0.0,unverified,"Gain, Volume, Bass, Mid, Treble, Presence (4kHz), Deep (80Hz), Bright switch (not on Ch3/Ch4)"
D-Cell H4 Ch2 Bright,Guitar amps,Diezel VH4,,1.0.0,unverified,"Gain, Volume, Bass, Mid, Treble, Presence (4kHz), Deep (80Hz), Bright switch (not on Ch3/Ch4)"
D-Cell H4 Ch2 Normal,Guitar amps,Diezel VH4,,1.0.0,unverified,"Gain, Volume, Bass, Mid, Treble, Presence (4kHz), Deep (80Hz), Bright switch (not on Ch3/Ch4)"
D-Cell H4 Ch3,Guitar amps,Diezel VH4,,1.0.0,unverified,"Gain, Volume, Bass, Mid, Treble, Presence (4kHz), Deep (80Hz), Bright switch (not on Ch3/Ch4)"
D-Cell H4 Ch4,Guitar amps,Diezel VH4,,1.0.0,unverified,"Gain, Volume, Bass, Mid, Treble, Presence (4kHz), Deep (80Hz), Bright switch (not on Ch3/Ch4)"
D-Cell Hisbert Ch1,Guitar amps,Diezel Herbert,,1.2.0,verified,"Volume (0-10, default 5.0, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Midcut (switch, Off/On, default On, p1); Level (0-10, default 5.0, p1); Intensity (0-10, default 5.0, p1); Presence (0-10, default 5.0, p1); Deep (0-10, default 5.0, p1); Master (0-10, default 3.0, p1); Output (dB, default 0.0, p2)"
D-Cell Hisbert Ch2,Guitar amps,Diezel Herbert,,1.2.0,verified,"Gain (0-10, default 7.7, p1); Bass (0-10, default 2.8, p1); Mid (0-10, default 6.6, p1); Treble (0-10, default 7.2, p1); Mode (select, +/-, default +, p1); Midcut (switch, Off/On, default Off, p1); Level (0-10, default 5.0, p1); Intensity (0-10, default 5.0, p1); Presence (0-10, default 6.3, p1); Deep (0-10, default 6.5, p1); Master (0-10, default 7.1, p2); Output (dB, default -17.1, p2)"
D-Cell Hisbert Ch3,Guitar amps,Diezel Herbert,,1.2.0,verified,"Gain (0-10, default 5.0, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Midcut (switch, Off/On, default Off, p1); Level (0-10, default 5.0, p1); Intensity (0-10, default 5.0, p1); Presence (0-10, default 5.0, p1); Deep (0-10, default 5.0, p1); Master (0-10, default 3.0, p1); Output (dB, default 0.0, p2)"
Dumbbell ODS,Guitar amps,Dumble Overdrive Special,,3.3.0,verified,"Channel (select, OD/Clean, default OD, p1); Volume (0-10, default 4.0, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Preamp (switch, Off/On, default Off, p1); OD Content (0-10, default 6.0, p1); OD Volume (0-10, default 7.5, p1); Master (0-10, default 3.0, p1); Presence (0-10, default 5.0, p1); Bright (switch, Off/On, default Off, p2); Mid (switch, Off/On, default Off, p2); EQ (select, Rock/Jazz, default Rock, p2); Output (dB, default 0.0, p2)"
EV101IIIS Blue 6L6 100W,Guitar amps,EVH 5150 III 100S 6L6,,1.2.0,verified,"Gain (0-10, default 5.0, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Presence (0-10, default 5.0, p1); Resonance (0-10, default 5.0, p1); Master (0-10, default 3.0, p1); Output (dB, default 0.0, p1)"
EV101IIIS Blue EL34 100W,Guitar amps,EVH 5150 IIIS EL34,,1.0.0,unverified,"Gain, Bass, Middle, Treble, Master, Presence, Resonance, Output"
EV101IIIS Red 6L6 100W,Guitar amps,EVH 5150 III 100S 6L6,,1.2.0,unverified,"Gain, Bass, Middle, Treble, Master, Presence, Resonance, Output"
EV101IIIS Red EL34 100W,Guitar amps,EVH 5150 IIIS EL34,,1.0.0,unverified,"Gain, Bass, Middle, Treble, Master, Presence, Resonance, Output"
Freeman 100 Clean,Guitar amps,Friedman HBE100,,1.0.0,verified,"Volume (0-10, default 3.0, p1); Bass (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Bright (select, unconfirmed (reads 'Bright 1'), default Bright 1, p1); Presence (0-10, default 5.0, p1); Output (dB, default 0.0, p1)"
Freeman 100 Lead,Guitar amps,Friedman HBE100,,1.0.0,verified,"Gain (0-10, default 5.0, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Voice (switch, Off/On, default On, p1); Fat (switch, Off/On, default Off, p1); C45 (switch, Off/On, default Off, p1); Sat (switch, Off/On, default Off, p1); Presence (0-10, default 5.0, p1); Master (0-10, default 3.0, p1); Output (dB, default 0.0, p2)"
Freeman 100 Rhythm,Guitar amps,Friedman HBE100,,1.0.0,unverified,"Fat switch, C45 switch, Gain, Voice switch, Sat switch, Bass, Middle, Treble, Master, Presence, Output"
Matchmore D30 Ch1,Guitar amps,Matchless DC30 Ch1,,2.1.0,verified,"Volume (0-10, default 4.0, p1); Bass (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Cut (0-10, default 5.0, p1); Master (0-10, default 5.0, p1); Output (dB, default 0.0, p1)"
Matchmore D30 Ch2,Guitar amps,Matchless DC30 Ch2,,2.1.0,verified,"Volume (0-10, default 5.0, p1); Tone (0-10, default 4.0, p1); Cut (0-10, default 5.0, p1); Master (0-10, default 5.0, p1); Output (dB, default 0.0, p1)"
Matchmore Jefe,Guitar amps,Matchless Chieftain,,2.1.0,verified,"Volume (0-10, default 3.0, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Brilliance (0-10, default 5.0, p1); Master (0-10, default 3.0, p1); Output (dB, default 0.0, p1)"
PV-505 Lead,Guitar amps,Peavey 6505,,1.0.0,verified,"Gain (0-10, default 5.0, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Presence (0-10, default 5.0, p1); Depth (0-10, default 5.0, p1); Master (0-10, default 3.0, p1); Output (dB, default 0.0, p1)"
PV-505 Rhythm,Guitar amps,Peavey 6505,,1.0.0,verified,"Gain (0-10, default 5.0, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Bright (switch, Off/On, default On, p1); Presence (0-10, default 5.0, p1); Depth (0-10, default 5.0, p1); Master (0-10, default 3.0, p1); Output (dB, default 0.0, p1)"
Rols Jazz CH120,Guitar amps,Roland Jazz Chorus 120,,1.0.0,verified,"Volume (0-10, default 1.0, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Bright (switch, Off/On, default Off, p1); Output (dB, default 0.0, p1)"
Solo 100 Crunch Bright,Guitar amps,Soldano SLO 100,,1.0.0,verified,"Gain (0-10, default 5.0, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Presence (0-10, default 5.0, p1); Master (0-10, default 3.0, p1); Output (dB, default 0.0, p1)"
Solo 100 Crunch Normal,Guitar amps,Soldano SLO 100,,1.0.0,unverified,"Gain, Bass, Middle, Treble, Master, Presence, Output"
Solo 100 Lead,Guitar amps,Soldano SLO 100,,1.0.0,unverified,"Gain, Bass, Middle, Treble, Master, Presence, Output"
UK C15 Normal,Guitar amps,Vox AC15,,1.3.0,unverified,"Bright switch, Volume, Tone Cut, Output"
UK C15 TopBoost,Guitar amps,Vox AC15,,1.3.0,unverified,"Volume (=Drive), Boost switch, Bass, Treble, Tone Cut, Output"
UK C30 Normal,Guitar amps,Vox AC30,,1.0.0,unverified,"Bright switch, Volume, Tone Cut, Output"
UK C30 TopBoost,Guitar amps,Vox AC30,,1.0.0,unverified,"Volume (=Drive), Boost switch, Bass, Treble, Tone Cut, Output"
US DLX 64 Vintage,Guitar amps,Fender Deluxe Reverb '64 Vintage,,3.1.0,unverified,"Volume, Bass, Treble, Output"
US DLX 65 Reissue,Guitar amps,Fender Deluxe Reverb '65 Reissue,,3.1.0,unverified,"Volume, Bass, Treble, Output"
US HP Tweed TWN Bright,Guitar amps,Fender High Power Tweed Twin 5F8-A,,1.4.0,unverified,"Volume Normal, Volume Bright, Treble, Bass, Middle, Presence, Output"
US HP Tweed TWN Bright Patch,Guitar amps,Fender High Power Tweed Twin 5F8-A,,1.4.0,unverified,"Volume Normal, Volume Bright, Treble, Bass, Middle, Presence, Output"
US HP Tweed TWN Normal,Guitar amps,Fender High Power Tweed Twin 5F8-A,,1.4.0,unverified,"Volume Normal, Volume Bright, Treble, Bass, Middle, Presence, Output"
US HP Tweed TWN Normal Patch,Guitar amps,Fender High Power Tweed Twin 5F8-A,,1.4.0,unverified,"Volume Normal, Volume Bright, Treble, Bass, Middle, Presence, Output"
US Prince,Guitar amps,Fender Blackface Princeton Reverb,,1.3.0,unverified,"Volume, Treble, Bass, Output"
US SPR Normal,Guitar amps,Fender Super Reverb '65,,1.0.0,unverified,"Volume, Bright switch, Bass, Treble, Output"
US SPR Vibrato,Guitar amps,Fender Super Reverb '65,,1.0.0,unverified,"Volume, Bright switch, Bass, Middle, Treble, Output"
US Tweed Basslad Bright,Guitar amps,Fender Bassman Tweed,,1.3.0,unverified,"Volume Normal, Volume Bright, Treble, Bass, Middle, Presence, Output"
US Tweed Basslad Bright Patch,Guitar amps,Fender Bassman Tweed,,1.3.0,unverified,"Volume Normal, Volume Bright, Treble, Bass, Middle, Presence, Output"
US Tweed Basslad Normal,Guitar amps,Fender Bassman Tweed,,1.3.0,unverified,"Volume Normal, Volume Bright, Treble, Bass, Middle, Presence, Output"
US Tweed Basslad Normal Patch,Guitar amps,Fender Bassman Tweed,,1.3.0,unverified,"Volume Normal, Volume Bright, Treble, Bass, Middle, Presence, Output"
US TWN Normal,Guitar amps,Fender Twin Reverb,,1.0.0,unverified,"Volume, Bright switch, Bass, Middle, Treble, Output"
US TWN Vibrato,Guitar amps,Fender Twin Reverb,,1.0.0,unverified,"Volume, Bright switch, Bass, Middle, Treble, Output"
Victor Squid Ch1,Guitar amps,Victory Kraken Ch1,,2.1.0,missing,
Victor Squid Ch2,Guitar amps,Victory Kraken Ch2,,2.1.0,missing,
Watt D103 Bright,Guitar amps,Hiwatt DR103,,1.0.0,unverified,"Gain, Bass, Middle, Treble, Master, Presence, Output"
Watt D103 Normal,Guitar amps,Hiwatt DR103,,1.0.0,unverified,"Gain, Bass, Middle, Treble, Master, Presence, Output"
110 US PRN Brown FatJ 10s,Guitar cabinets,Fender Princeton w/ FatJimmy C1060,,1.0.0,missing,
110 US PRN C10R,Guitar cabinets,Fender Princeton w/ Jensen C10R,,1.3.0,missing,
110 US PRN Gold G10,Guitar cabinets,Fender Princeton Brownface w/ Celestion G10 Alnico Gold,,3.3.0,missing,
112 Brit P-Series TX 33,Guitar cabinets,Marshall 1933 w/ Eminence Texas Heat,,3.3.0,missing,
112 UK C15 Blue,Guitar cabinets,Vox AC15 w/ Celestion Alnico Blue,,1.3.0,missing,
112 US DLX Black C12K 00s,Guitar cabinets,Fender Deluxe Blackface w/ Jensen C12K,,1.0.0,missing,
112 US DLX SC64,Guitar cabinets,Fender Deluxe 1x12 Eminence GA-SC64,,1.0.2,missing,
112 US DLX Tweed WGS-Q 10s,Guitar cabinets,Fender Deluxe Tweed w/ WGS G12Q,,1.0.0,missing,
112 Zila MiniMod RB '17,Guitar cabinets,Zilla Mini Modern w/ Celestion G12H150 Redback,,1.0.0,missing,
210 US TRMLX Oxf '63,Guitar cabinets,Fender Tremolux w/ Oxford Alnico,,1.0.0,missing,
212 CA Recto Legend V12,Guitar cabinets,Mesa Rectifier 2x12 Legend V12,,1.0.2,missing,
212 CA Recto V30 '98,Guitar cabinets,Mesa Rectifier w/ Celestion V30,,1.0.0,missing,
212 Rols Jazz '87,Guitar cabinets,Roland JC-120,,1.0.0,missing,
212 Sur V-type 10,Guitar cabinets,Suhr cab w/ Celestion V-Type,,1.0.0,missing,
212 Too Rock EV,Guitar cabinets,Two Rock open back w/ EV EVM12L,,3.3.0,missing,
212 Too Rock G65,Guitar cabinets,Two Rock open back w/ Celestion G12-65,,3.3.0,missing,
212 Too Rock KM65,Guitar cabinets,Two Rock open back w/ K&M 65,,3.3.0,missing,
212 UK C30 '65,Guitar cabinets,Vox AC30 Top Boost w/ Celestion Alnico Silver Bell,,1.2.0,missing,
212 UK C30 GB '69,Guitar cabinets,Vox AC30 w/ Celestion Pre-Rola Greenback,,1.0.0,missing,
212 US A-type 00s,Guitar cabinets,"Fender cab w/ Celestion A-Type 12""",,1.0.0,missing,
212 US Bleached Basslad V30 01,Guitar cabinets,Fender Blonde Bassman w/ Celestion V30,,3.3.0,missing,
212 US TWN C12Q 00s,Guitar cabinets,Fender Twin Reverb w/ Jensen C12K-2,,1.0.0,missing,
212 US TWN CK2,Guitar cabinets,Fender Twin Reverb 2x12 Jensen C12K-2,,1.2.0,missing,
212 US TWN Web Classic 08,Guitar cabinets,Fender Tweed Twin w/ Weber Classic Alnico,,3.3.0,missing,
212 Zila CB '16,Guitar cabinets,Zilla w/ Celestion Creamback G12H-75,,1.0.0,missing,
212 Zila Fatboy V30 '02,Guitar cabinets,Zilla Fatboy 2x12 w/ Celestion UK V30,,1.0.2,missing,
212 Zila Open CL80 19,Guitar cabinets,Zilla Open w/ Celestion Classic Lead 80,,3.3.0,missing,
212 Zila Open G65 82,Guitar cabinets,Zilla Open w/ Celestion G12-65,,3.3.0,missing,
212 Zila Open Gold '19,Guitar cabinets,Zilla Open w/ Celestion Alnico Gold,,1.0.0,missing,
410 US Basslad PR10,Guitar cabinets,Fender Bassman Tweed w/ Jensen P10R,,1.3.0,missing,
412 Bogna Uber T75 00s,Guitar cabinets,Bogner Ubercab w/ Celestion T75,,1.0.0,missing,
412 Bogna Uber V30 00s,Guitar cabinets,Bogner Ubercab w/ Celestion V30,,1.0.0,missing,
412 Brit 35B Alnico Cream,Guitar cabinets,Marshall 1935B Alnico Cream,,1.0.2,missing,
412 Brit 60A G75 80s,Guitar cabinets,Marshall 1960A w/ Celestion G12T-75 80s,,3.3.0,missing,
412 Brit 60A GB75Hz '89,Guitar cabinets,Marshall 1960A w/ Celestion G12M25,,1.0.0,missing,
412 Brit 60A LB50 12,Guitar cabinets,Marshall 1960A w/ Celestion G12-50GL Lynchback,,3.3.0,missing,
412 Brit 60B GB '71,Guitar cabinets,Marshall 1960B w/ Celestion Pulsonic Greenback,,1.0.0,missing,
412 Brit 60B GB 90s,Guitar cabinets,Marshall 1960B w/ Celestion Greenback,,1.0.0,missing,
412 Brit 60B V30 '95,Guitar cabinets,Marshall 1960B w/ Celestion Marshall V30,,1.0.0,missing,
412 Brit Silver B 70w '87,Guitar cabinets,Marshall 2551B w/ Celestion,,1.0.0,missing,
412 Brit TV GB75Hz '69,Guitar cabinets,Marshall 1960TV w/ Celestion G12M25,,1.0.0,missing,
412 CA Custom A Shadow 87,Guitar cabinets,Mesa Boogie Custom w/ Celestion Black Shadow,,3.3.0,missing,
412 CA Dagger A V30 01,Guitar cabinets,Mesa Boogie Stiletto w/ Celestion V30,,3.3.0,missing,
412 CA Stand OS A V30 '01,Guitar cabinets,Mesa Standard OS Angled w/ Celestion V30,,1.0.0,missing,
412 CA Stand OS A V30 '03,Guitar cabinets,Mesa Oversize Angle 2003 w/ Celestion UK V30,,1.0.2,missing,
412 CA Stand OS S V30 90s,Guitar cabinets,Mesa Standard OS Straight w/ Celestion V30,,1.0.0,missing,
412 CA Trad A V30 '92,Guitar cabinets,Mesa Traditional Angled w/ Celestion V30,,1.0.0,missing,
412 CA Trad S H30 '15,Guitar cabinets,Mesa Traditional Straight w/ Celestion G12H30,,1.0.0,missing,
412 CA Trad S UKV30 90s,Guitar cabinets,Mesa Traditional Straight w/ Celestion V30,,1.0.0,missing,
412 Cornfield V30,Guitar cabinets,Cornford RK412 w/ Celestion V30,,3.3.0,missing,
412 D-Cell Front V30 '04,Guitar cabinets,Diezel Front Loaded w/ Celestion V30,,1.0.0,missing,
412 ENG Pro V30 18,Guitar cabinets,ENGL V30,,1.0.0,missing,
412 EV Straight G12 00s,Guitar cabinets,EVH Straight w/ Celestion G12EVH,,1.0.0,missing,
412 Range PPC V30 '02,Guitar cabinets,Orange PPC412 w/ Celestion V30,,1.0.0,missing,
412 Range PPC V30 '03,Guitar cabinets,Orange PPC412 w/ Celestion V30,,1.0.0,missing,
412 VH Fat P50,Guitar cabinets,VHT FatBottom w/ Eminence P50e,,3.3.0,missing,
412 Watt S4123,Guitar cabinets,Hiwatt SE4123 4x12,,1.2.0,missing,
412 Zila Cust V30 '12 V2,Guitar cabinets,Zilla Custom w/ Celestion V30,,1.0.0,missing,
Match D30 Sig A,Guitar cabinets,Matchless DC30 Sig A,,2.1.0,missing,
Match D30 Sig B,Guitar cabinets,Matchless DC30 Sig B,,2.1.0,missing,
Match Jefe Sig 02,Guitar cabinets,Matchless Chieftain Sig 02,,2.1.0,missing,
Match Jefe V30 02,Guitar cabinets,Matchless Chieftain V30 02,,2.1.0,missing,
81 Creations Drive,Guitar overdrive,1981 Inventions DRV,,3.3.0,missing,
Brit Blues,Guitar overdrive,Marshall BluesBreaker,,1.0.0,missing,
Brit Governor,Guitar overdrive,Marshall Guv'nor,,1.0.0,missing,
Chief BD2,Guitar overdrive,BOSS BD-2,,1.0.0,missing,
Chief DS1,Guitar overdrive,BOSS DS-1,,1.0.0,missing,
Chief MT,Guitar overdrive,BOSS MT-2,,1.0.0,missing,
Chief OD1,Guitar overdrive,BOSS OD-1,,1.0.0,missing,
Chief SD1,Guitar overdrive,BOSS SD-1,,1.0.0,missing,
Exotic,Guitar overdrive,Xotic BB Preamp,,1.0.0,missing,
Exotic Z Boost,Guitar overdrive,Xotic RC Booster,,1.2.0,missing,
Facial Fuzz,Guitar overdrive,Dunlop Fuzzface,,1.2.0,missing,
Freeman BOD,Guitar overdrive,Friedman BE-OD,,1.0.0,missing,
Fuzz Pi,Guitar overdrive,Electro-Harmonix Big Muff Pi,,1.0.0,missing,
Green 808,Guitar overdrive,Ibanez TS808,,1.0.0,missing,
MK3 Silicon Fuzz,Guitar overdrive,JHS Bender 1973 London,,2.1.0,missing,
Myth Drive,Guitar overdrive,Klon Centaur,,1.0.0,missing,
